store_id,product_id,qty_on_hand,reorder_level,last_restocked,status
S001,P0222,107,46,2024-10-25,In Stock
S001,P0091,17,17,2024-11-08,In Stock
S001,P0115,3,11,2024-10-28,Low Stock
S001,P0048,56,47,2024-11-11,In Stock
S001,P0208,143,14,2024-10-15,In Stock
S001,P0125,185,20,2024-11-29,In Stock
S001,P0195,119,25,2024-10-19,In Stock
S001,P0050,102,29,2024-11-04,In Stock
S001,P0186,174,42,2024-10-31,In Stock
S001,P0178,68,19,2024-11-09,In Stock
S001,P0169,178,39,2024-11-29,In Stock
S001,P0143,112,18,2024-11-30,In Stock
S001,P0038,170,31,2024-10-03,In Stock
S001,P0007,117,10,2024-10-24,In Stock
S001,P0046,35,35,2024-10-10,In Stock
S001,P0066,37,12,2024-11-18,In Stock
S001,P0089,129,45,2024-10-11,In Stock
S001,P0034,161,19,2024-11-05,In Stock
S001,P0063,98,37,2024-10-30,In Stock
S001,P0127,176,45,2024-11-17,In Stock
S001,P0093,50,35,2024-10-07,In Stock
S001,P0054,135,39,2024-11-07,In Stock
S001,P0073,0,21,2024-11-04,Low Stock
S001,P0104,35,25,2024-11-01,In Stock
S001,P0014,48,50,2024-10-02,Low Stock
S001,P0122,194,50,2024-11-22,In Stock
S001,P0015,10,41,2024-10-11,Low Stock
S001,P0165,154,32,2024-11-27,In Stock
S001,P0003,199,47,2024-11-05,In Stock
S001,P0086,66,46,2024-10-24,In Stock
S001,P0207,106,34,2024-11-12,In Stock
S001,P0020,137,25,2024-10-07,In Stock
S001,P0198,180,12,2024-11-14,In Stock
S001,P0134,188,32,2024-11-05,In Stock
S001,P0040,51,24,2024-10-24,In Stock
S001,P0168,46,38,2024-10-17,In Stock
S001,P0065,91,11,2024-10-25,In Stock
S001,P0016,41,36,2024-10-14,In Stock
S001,P0077,172,22,2024-11-07,In Stock
S001,P0154,89,36,2024-10-22,In Stock
S001,P0074,17,47,2024-10-07,Low Stock
S001,P0138,171,21,2024-11-12,In Stock
S001,P0037,165,25,2024-10-15,In Stock
S001,P0035,193,29,2024-11-01,In Stock
S001,P0167,61,46,2024-11-25,In Stock
S001,P0161,82,14,2024-10-06,In Stock
S001,P0029,27,38,2024-11-13,Low Stock
S001,P0193,76,43,2024-11-25,In Stock
S001,P0060,119,10,2024-11-20,In Stock
S001,P0188,88,40,2024-10-21,In Stock
S001,P0112,6,49,2024-11-16,Low Stock
S001,P0062,107,39,2024-10-02,In Stock
S001,P0097,157,16,2024-10-20,In Stock
S001,P0107,66,31,2024-10-11,In Stock
S001,P0009,188,30,2024-11-09,In Stock
S001,P0023,176,30,2024-11-26,In Stock
S001,P0031,71,28,2024-10-15,In Stock
S001,P0160,20,45,2024-11-13,Low Stock
S001,P0209,130,21,2024-10-17,In Stock
S001,P0047,152,46,2024-10-21,In Stock
S001,P0116,78,21,2024-10-19,In Stock
S001,P0166,156,26,2024-10-16,In Stock
S001,P0099,92,42,2024-11-15,In Stock
S001,P0139,180,21,2024-11-07,In Stock
S001,P0175,38,19,2024-11-10,In Stock
S001,P0018,197,16,2024-10-24,In Stock
S001,P0159,125,30,2024-10-03,In Stock
S001,P0114,29,16,2024-11-15,In Stock
S001,P0019,27,14,2024-11-09,In Stock
S001,P0152,111,21,2024-11-13,In Stock
S001,P0055,83,45,2024-11-11,In Stock
S001,P0119,36,29,2024-11-04,In Stock
S001,P0197,43,21,2024-11-13,In Stock
S001,P0095,46,27,2024-10-28,In Stock
S001,P0006,21,44,2024-11-14,Low Stock
S001,P0064,7,30,2024-11-06,Low Stock
S001,P0072,37,41,2024-11-10,Low Stock
S001,P0078,3,11,2024-10-02,Low Stock
S001,P0226,20,17,2024-10-04,In Stock
S001,P0126,94,17,2024-10-17,In Stock
S001,P0110,32,42,2024-11-29,Low Stock
S001,P0147,71,37,2024-11-09,In Stock
S001,P0130,133,39,2024-11-07,In Stock
S001,P0011,57,40,2024-11-02,In Stock
S001,P0206,119,48,2024-10-11,In Stock
S001,P0162,101,11,2024-10-22,In Stock
S001,P0075,116,39,2024-11-30,In Stock
S001,P0088,139,16,2024-10-24,In Stock
S001,P0153,151,19,2024-10-15,In Stock
S001,P0101,191,18,2024-11-03,In Stock
S001,P0142,140,16,2024-10-21,In Stock
S001,P0004,182,17,2024-10-08,In Stock
S001,P0200,138,31,2024-11-05,In Stock
S001,P0105,96,36,2024-11-28,In Stock
S001,P0002,98,39,2024-10-13,In Stock
S001,P0005,127,39,2024-10-25,In Stock
S001,P0081,120,23,2024-10-13,In Stock
S001,P0133,28,33,2024-10-26,Low Stock
S001,P0044,53,37,2024-10-10,In Stock
S001,P0067,23,18,2024-11-03,In Stock
S001,P0212,160,32,2024-11-09,In Stock
S001,P0041,90,27,2024-10-02,In Stock
S001,P0149,19,48,2024-11-02,Low Stock
S001,P0131,65,17,2024-11-26,In Stock
S001,P0071,174,44,2024-11-13,In Stock
S001,P0121,44,13,2024-11-03,In Stock
S001,P0085,45,14,2024-11-10,In Stock
S001,P0022,20,45,2024-11-11,Low Stock
S001,P0059,19,13,2024-11-12,In Stock
S001,P0129,77,11,2024-10-23,In Stock
S001,P0008,123,50,2024-10-12,In Stock
S001,P0225,198,32,2024-10-24,In Stock
S001,P0042,147,26,2024-11-16,In Stock
S001,P0103,5,19,2024-11-26,Low Stock
S001,P0177,148,33,2024-10-02,In Stock
S001,P0118,56,38,2024-11-24,In Stock
S001,P0082,48,24,2024-10-07,In Stock
S001,P0204,184,38,2024-10-13,In Stock
S001,P0170,146,48,2024-10-12,In Stock
S001,P0179,70,49,2024-11-30,In Stock
S001,P0217,71,45,2024-11-17,In Stock
S001,P0214,200,41,2024-11-22,In Stock
S001,P0144,200,42,2024-11-22,In Stock
S001,P0181,147,44,2024-10-31,In Stock
S001,P0051,35,36,2024-11-05,Low Stock
S001,P0218,5,17,2024-10-06,Low Stock
S001,P0079,180,45,2024-11-01,In Stock
S001,P0108,103,25,2024-11-06,In Stock
S001,P0201,168,41,2024-10-30,In Stock
S001,P0024,179,21,2024-11-02,In Stock
S001,P0001,169,30,2024-11-23,In Stock
S001,P0096,84,37,2024-11-17,In Stock
S001,P0136,106,45,2024-11-11,In Stock
S001,P0120,15,28,2024-10-09,Low Stock
S001,P0021,180,10,2024-11-05,In Stock
S002,P0008,181,50,2024-10-14,In Stock
S002,P0079,190,45,2024-11-19,In Stock
S002,P0030,168,16,2024-10-19,In Stock
S002,P0150,65,16,2024-10-09,In Stock
S002,P0126,29,17,2024-11-09,In Stock
S002,P0206,149,48,2024-11-16,In Stock
S002,P0224,131,38,2024-11-12,In Stock
S002,P0006,73,44,2024-10-18,In Stock
S002,P0197,3,21,2024-11-10,Low Stock
S002,P0049,120,20,2024-10-30,In Stock
S002,P0125,180,20,2024-10-08,In Stock
S002,P0060,187,10,2024-11-07,In Stock
S002,P0156,187,37,2024-11-09,In Stock
S002,P0138,119,21,2024-11-21,In Stock
S002,P0093,76,35,2024-10-21,In Stock
S002,P0137,185,48,2024-11-04,In Stock
S002,P0149,144,48,2024-11-25,In Stock
S002,P0136,172,45,2024-11-18,In Stock
S002,P0169,35,39,2024-10-25,Low Stock
S002,P0005,43,39,2024-11-19,In Stock
S002,P0223,167,25,2024-10-10,In Stock
S002,P0081,46,23,2024-11-18,In Stock
S002,P0026,122,30,2024-10-06,In Stock
S002,P0058,90,34,2024-11-22,In Stock
S002,P0202,85,37,2024-11-01,In Stock
S002,P0105,192,36,2024-10-22,In Stock
S002,P0147,187,37,2024-11-18,In Stock
S002,P0078,5,11,2024-10-05,Low Stock
S002,P0195,56,25,2024-10-19,In Stock
S002,P0057,83,28,2024-11-25,In Stock
S002,P0135,181,50,2024-11-19,In Stock
S002,P0066,65,12,2024-11-24,In Stock
S002,P0062,35,39,2024-10-28,Low Stock
S002,P0159,173,30,2024-11-05,In Stock
S002,P0032,180,13,2024-11-05,In Stock
S002,P0019,129,14,2024-11-15,In Stock
S002,P0145,98,24,2024-11-20,In Stock
S002,P0198,82,12,2024-10-11,In Stock
