customer_id,churn_probability,churn_risk_label,segment
C00001,0.0,,Champions
C00002,1.0,High Risk,Hibernating
C00003,0.0,,Champions
C00004,0.0,,At Risk
C00005,1.0,High Risk,Hibernating
C00006,0.0,,Hibernating
C00007,0.008165386210988978,Low Risk,At Risk
C00008,0.0,,Champions
C00009,0.0017526787666739551,Low Risk,Hibernating
C00010,0.0,,Potential Loyalists
C00011,0.0,,Potential Loyalists
C00012,0.0,,Potential Loyalists
C00013,0.0,,Potential Loyalists
C00014,1.0,High Risk,Loyal Customers
C00015,0.0,,At Risk
C00016,0.0,,Loyal Customers
C00017,0.0,,Potential Loyalists
C00018,0.0,,Champions
C00019,0.0,,At Risk
C00020,0.0,,Loyal Customers
C00021,0.0,,Loyal Customers
C00022,0.0,,Loyal Customers
C00023,0.9995732355505657,High Risk,Potential Loyalists
C00024,0.0,,Potential Loyalists
C00025,0.0,,Potential Loyalists
C00026,0.0,,Loyal Customers
C00027,0.00461795258511125,Low Risk,Potential Loyalists
C00028,0.0,,Loyal Customers
C00029,1.0,High Risk,At Risk
C00030,0.0,,Champions
C00031,0.0,,Loyal Customers
C00032,0.0,,Loyal Customers
C00033,0.0,,Hibernating
C00034,0.0,,Loyal Customers
C00035,0.006458315347204238,Low Risk,Potential Loyalists
C00036,0.0,,Loyal Customers
C00037,1.0,High Risk,At Risk
C00038,1.0,High Risk,At Risk
C00039,0.0,,Loyal Customers
C00040,1.0,High Risk,Loyal Customers
C00041,0.007425421530479895,Low Risk,Hibernating
C00042,0.0,,Loyal Customers
C00043,0.0,,At Risk
C00044,0.0,,Loyal Customers
C00045,0.009575110248152647,Low Risk,Hibernating
C00046,0.0,,Potential Loyalists
C00047,0.0,,Loyal Customers
C00048,0.0,,Potential Loyalists
C00049,0.0,,Champions
C00050,0.0,,Potential Loyalists
C00051,0.0,,Loyal Customers
C00052,0.0,,At Risk
C00053,0.0,,At Risk
C00054,0.0,,Loyal Customers
C00055,0.0,,Loyal Customers
C00056,1.0,High Risk,At Risk
C00057,1.0,High Risk,Loyal Customers
C00058,0.0,,Loyal Customers
C00059,0.0,,Potential Loyalists
C00060,0.0,,Potential Loyalists
C00061,0.0,,Loyal Customers
C00062,0.0,,Potential Loyalists
C00063,0.0,,Potential Loyalists
C00064,0.0,,Champions
C00065,0.0,,Potential Loyalists
C00066,0.0,,Loyal Customers
C00067,0.0,,Loyal Customers
C00068,0.9964583153472043,High Risk,At Risk
C00069,0.0,,Loyal Customers
C00070,0.0,,Champions
C00071,0.0,,At Risk
C00072,0.0,,Champions
C00073,0.0,,Champions
C00074,0.0,,Potential Loyalists
C00075,1.0,High Risk,Hibernating
C00076,1.0,High Risk,At Risk
C00077,1.0,High Risk,Hibernating
C00078,0.0,,At Risk
C00079,1.0,High Risk,Loyal Customers
C00080,0.0,,Loyal Customers
C00081,0.0,,Champions
C00082,1.0,High Risk,Hibernating
C00083,0.0,,Potential Loyalists
C00084,0.0,,Champions
C00085,0.9946179525851113,High Risk,Potential Loyalists
C00086,1.0,High Risk,Loyal Customers
C00087,1.0,High Risk,Loyal Customers
C00088,1.0,High Risk,Hibernating
C00089,1.0,High Risk,Hibernating
C00090,1.0,High Risk,Hibernating
C00091,1.0,High Risk,At Risk
C00092,1.0,High Risk,Loyal Customers
C00093,0.0,,Potential Loyalists
C00094,0.0,,Loyal Customers
C00095,1.0,High Risk,At Risk
C00096,0.0,,Potential Loyalists
C00097,1.0,High Risk,At Risk
C00098,0.0,,Potential Loyalists
C00099,0.0,,Potential Loyalists
C00100,0.0,,Potential Loyalists
C00101,0.0,,Potential Loyalists
C00102,0.0,,Champions
C00103,0.0,,Potential Loyalists
C00104,0.0,,At Risk
C00105,0.006458315347204238,Low Risk,Potential Loyalists
C00106,0.0,,Loyal Customers
C00107,0.0,,Loyal Customers
C00108,0.0,,Loyal Customers
C00109,0.0,,Potential Loyalists
C00110,0.0,,Loyal Customers
C00111,0.0,,Loyal Customers
C00112,0.0,,Loyal Customers
C00113,0.0,,Potential Loyalists
C00114,0.0,,Potential Loyalists
C00115,0.0,,At Risk
C00116,1.0,High Risk,Hibernating
C00117,0.0,,Loyal Customers
C00118,0.0,,Potential Loyalists
C00119,0.0,,Champions
C00120,0.0,,Loyal Customers
C00121,0.00461795258511125,Low Risk,Potential Loyalists
C00122,0.0,,At Risk
C00123,0.0,,Potential Loyalists
C00124,0.0,,Champions
C00125,0.0,,Loyal Customers
C00126,0.0,,Potential Loyalists
C00127,0.0,,Loyal Customers
C00128,0.9946179525851113,High Risk,Potential Loyalists
C00129,0.0,,Loyal Customers
C00130,0.0,,Loyal Customers
C00131,0.0,,Potential Loyalists
C00132,1.0,High Risk,At Risk
C00133,0.0,,Potential Loyalists
C00134,0.0050235036038859295,Low Risk,Hibernating
C00135,0.0,,At Risk
C00136,0.0050235036038859295,Low Risk,Hibernating
C00137,0.0,,Champions
C00138,0.0,,Loyal Customers
C00139,0.0,,Potential Loyalists
C00140,0.0,,Champions
C00141,0.0,,At Risk
C00142,0.0,,Champions
C00143,1.0,High Risk,Hibernating
C00144,0.0,,Loyal Customers
C00145,1.0,High Risk,Loyal Customers
C00146,0.0,,Champions
C00147,1.0,High Risk,Hibernating
C00148,0.0,,Champions
C00149,1.0,High Risk,Hibernating
C00150,1.0,High Risk,At Risk
C00151,0.0,,At Risk
C00152,0.0,,Champions
C00153,0.0,,Loyal Customers
C00154,1.0,High Risk,Loyal Customers
C00155,0.0,,Loyal Customers
C00156,0.0,,Loyal Customers
C00157,1.0,High Risk,Hibernating
C00158,0.0,,At Risk
C00159,0.0,,Potential Loyalists
C00160,1.0,High Risk,Hibernating
C00161,0.0,,At Risk
C00162,1.0,High Risk,Hibernating
C00163,0.0,,Loyal Customers
C00164,0.0,,At Risk
C00165,0.0,,Champions
C00166,0.0,,Potential Loyalists
C00167,0.0,,Champions
C00168,1.0,High Risk,Hibernating
C00169,0.0,,Potential Loyalists
C00170,1.0,High Risk,Hibernating
C00171,0.0,,Loyal Customers
C00172,1.0,High Risk,At Risk
C00173,0.0,,Champions
C00174,0.0,,Loyal Customers
C00175,0.0,,Loyal Customers
C00176,0.0,,Loyal Customers
C00177,0.0,,Champions
C00178,0.0,,Champions
C00179,0.0,,Loyal Customers
C00180,0.0,,Loyal Customers
C00181,0.0,,Loyal Customers
C00182,0.0,,At Risk
C00183,0.0,,Loyal Customers
C00184,1.0,High Risk,At Risk
C00185,0.0,,Loyal Customers
C00186,0.0,,Potential Loyalists
C00187,0.0,,Potential Loyalists
C00188,0.0,,Champions
C00189,0.0,,Potential Loyalists
C00190,0.0,,Potential Loyalists
C00191,0.0,,At Risk
C00192,0.0,,At Risk
C00193,1.0,High Risk,Potential Loyalists
C00194,0.008165386210988978,Low Risk,Potential Loyalists
C00195,0.0,,Champions
C00196,0.0,,Champions
C00197,0.0,,Champions
C00198,0.0,,At Risk
C00199,0.0,,Loyal Customers
C00200,0.0,,At Risk
C00201,0.0,,Champions
C00202,0.0,,Potential Loyalists
C00203,0.0,,Potential Loyalists
C00204,0.006458315347204238,Low Risk,Potential Loyalists
C00205,1.0,High Risk,Hibernating
C00206,0.0,,Champions
C00207,0.0,,Loyal Customers
C00208,1.0,High Risk,Hibernating
C00209,1.0,High Risk,Hibernating
C00210,1.0,High Risk,Loyal Customers
C00211,0.0,,Champions
C00212,0.0,,Loyal Customers
C00213,0.0,,Champions
C00214,0.0,,Potential Loyalists
C00215,0.0,,Champions
C00216,0.0,,Potential Loyalists
C00217,0.0,,At Risk
C00218,0.0,,Potential Loyalists
C00219,0.0,,Potential Loyalists
C00220,0.0,,Champions
C00221,0.0,,Champions
C00222,0.0,,Potential Loyalists
C00223,0.0,,Champions
C00224,0.0,,Potential Loyalists
C00225,0.0,,Loyal Customers
C00226,0.0,,Loyal Customers
C00227,0.0,,Loyal Customers
C00228,0.0,,Champions
C00229,0.0,,Potential Loyalists
C00230,0.0,,Potential Loyalists
C00231,1.0,High Risk,Potential Loyalists
C00232,0.0,,Champions
C00233,0.0,,Potential Loyalists
C00234,1.0,High Risk,Hibernating
C00235,0.0,,Potential Loyalists
C00236,0.0,,Potential Loyalists
C00237,0.0,,Potential Loyalists
C00238,0.0,,Champions
C00239,0.0,,Champions
C00240,0.0,,Loyal Customers
C00241,0.0,,Loyal Customers
C00242,0.0,,Loyal Customers
C00243,0.0,,Potential Loyalists
C00244,0.0,,Loyal Customers
C00245,0.0,,At Risk
C00246,0.0,,Champions
C00247,0.0,,Champions
C00248,1.0,High Risk,Hibernating
C00249,0.0,,Loyal Customers
C00250,1.0,High Risk,Loyal Customers
C00251,0.0,,Potential Loyalists
C00252,0.0,,At Risk
C00253,0.0,,Potential Loyalists
C00254,0.0,,Champions
C00255,0.0,,Champions
C00256,0.0,,Loyal Customers
C00257,0.0,,Champions
C00258,0.9995732355505657,High Risk,Potential Loyalists
C00259,0.0,,Potential Loyalists
C00260,0.0,,Champions
C00261,0.0,,At Risk
C00262,0.0,,Champions
C00263,0.0,,Loyal Customers
C00264,0.0,,At Risk
C00265,0.0,,Loyal Customers
C00266,0.0,,At Risk
C00267,1.0,High Risk,Potential Loyalists
C00268,0.0,,Loyal Customers
C00269,0.0,,Potential Loyalists
C00270,0.0,,Loyal Customers
C00271,0.0,,Potential Loyalists
C00272,0.0,,Potential Loyalists
C00273,1.0,High Risk,Hibernating
C00274,0.0,,Loyal Customers
C00275,0.0,,Loyal Customers
C00276,0.0,,Loyal Customers
C00277,0.0,,At Risk
C00278,0.0,,Champions
C00279,0.0,,Champions
C00280,0.0,,Loyal Customers
C00281,0.0,,Potential Loyalists
C00282,0.0,,Loyal Customers
C00283,0.0,,Champions
C00284,0.0,,Potential Loyalists
C00285,0.0,,Loyal Customers
C00286,1.0,High Risk,Loyal Customers
C00287,1.0,High Risk,Hibernating
C00288,0.0,,At Risk
C00289,0.0,,At Risk
C00290,0.0,,Champions
C00291,0.0,,Potential Loyalists
C00292,0.0,,Loyal Customers
C00293,0.0,,Champions
C00294,0.0050235036038859295,Low Risk,Hibernating
C00295,0.0,,Loyal Customers
C00296,0.0,,Loyal Customers
C00297,1.0,High Risk,Hibernating
C00298,1.0,High Risk,Hibernating
C00299,0.0,,Loyal Customers
C00300,0.0,,Loyal Customers
C00301,0.0,,At Risk
C00302,1.0,High Risk,Hibernating
C00303,0.0,,Champions
C00304,0.0,,Champions
C00305,0.0,,At Risk
C00306,0.0,,Hibernating
C00307,0.0,,Loyal Customers
C00308,0.0,,Potential Loyalists
C00309,0.0017526787666739551,Low Risk,Hibernating
C00310,1.0,High Risk,Potential Loyalists
C00311,0.0,,Loyal Customers
C00312,0.0,,Loyal Customers
C00313,0.0,,Loyal Customers
C00314,0.0,,Champions
C00315,0.0,,Potential Loyalists
C00316,0.0,,Champions
C00317,0.0017526787666739551,Low Risk,Hibernating
C00318,0.00461795258511125,Low Risk,Potential Loyalists
C00319,0.0,,Loyal Customers
C00320,0.0,,Potential Loyalists
C00321,0.0,,Loyal Customers
C00322,0.0,,Champions
C00323,0.0,,At Risk
C00324,0.0,,Potential Loyalists
C00325,0.0,,At Risk
C00326,0.0,,Champions
C00327,0.0,,Champions
C00328,0.0,,Loyal Customers
C00329,0.0,,At Risk
C00330,0.0,,Loyal Customers
C00331,0.0,,Potential Loyalists
C00332,0.008165386210988978,Low Risk,Potential Loyalists
C00333,0.0,,Champions
C00334,1.0,High Risk,Hibernating
C00335,0.0,,At Risk
C00336,0.0,,Champions
C00337,0.0,,Champions
C00338,1.0,High Risk,Hibernating
C00339,0.0,,Loyal Customers
C00340,1.0,High Risk,Hibernating
C00341,0.0,,At Risk
C00342,0.0,,At Risk
C00343,0.0,,Loyal Customers
C00344,0.0,,Champions
C00345,0.0,,At Risk
C00346,0.0,,At Risk
C00347,0.0,,Loyal Customers
C00348,0.0,,Potential Loyalists
C00349,1.0,High Risk,Hibernating
C00350,0.0,,Champions
C00351,1.0,High Risk,Potential Loyalists
C00352,0.0,,Loyal Customers
C00353,0.0,,Potential Loyalists
C00354,1.0,High Risk,Hibernating
C00355,0.0,,Champions
C00356,0.0,,At Risk
C00357,0.0,,Loyal Customers
C00358,0.0,,Hibernating
C00359,1.0,High Risk,Potential Loyalists
C00360,0.0,,At Risk
C00361,0.0,,Potential Loyalists
C00362,0.0,,Potential Loyalists
C00363,0.0,,Champions
C00364,0.0,,Potential Loyalists
C00365,0.0,,Potential Loyalists
C00366,0.0,,Loyal Customers
C00367,0.0,,Champions
C00368,0.0,,At Risk
C00369,1.0,High Risk,Hibernating
C00370,0.0,,Potential Loyalists
C00371,0.0,,Loyal Customers
C00372,0.0,,Potential Loyalists
C00373,1.0,High Risk,Hibernating
C00374,1.0,High Risk,Hibernating
C00375,0.0,,Loyal Customers
