customer_id,recency,frequency,monetary,R,F,M,RFM,segment
C00001,5,18,17481.06,5,4,4,13,Champions
C00002,196,11,11216.470000000001,1,1,1,3,Hibernating
C00003,6,16,20954.19,5,3,5,13,Champions
C00004,31,9,8074.6,3,1,1,5,At Risk
C00005,152,13,9204.69,1,2,1,4,Hibernating
C00006,50,11,11550.970000000001,2,1,1,4,Hibernating
C00007,57,16,11447.94,2,3,1,6,At Risk
C00008,14,20,19109.01,4,5,4,13,Champions
C00009,87,11,7611.11,2,1,1,4,Hibernating
C00010,41,14,14142.17,3,2,2,7,Potential Loyalists
C00011,19,10,14264.01,4,1,2,7,Potential Loyalists
C00012,50,13,15101.0,2,2,3,7,Potential Loyalists
C00013,14,17,9002.71,4,4,1,9,Potential Loyalists
C00014,94,21,27276.88,1,5,5,11,Loyal Customers
C00015,28,12,12504.96,3,1,2,6,At Risk
C00016,25,15,16818.87,4,3,3,10,Loyal Customers
C00017,44,14,17130.42,3,2,4,9,Potential Loyalists
C00018,1,20,16194.72,5,5,3,13,Champions
C00019,63,14,9910.79,2,2,1,5,At Risk
C00020,20,17,15863.54,4,4,3,11,Loyal Customers
C00021,50,17,18305.86,2,4,4,10,Loyal Customers
C00022,18,13,21102.37,4,2,5,11,Loyal Customers
C00023,157,15,20898.3,1,3,5,9,Potential Loyalists
C00024,34,15,16559.97,3,3,3,9,Potential Loyalists
C00025,73,19,14120.92,2,5,2,9,Potential Loyalists
C00026,7,12,17993.51,5,1,4,10,Loyal Customers
C00027,54,16,17022.68,2,3,4,9,Potential Loyalists
C00028,10,15,17091.73,5,3,4,12,Loyal Customers
C00029,158,12,15784.35,1,1,3,5,At Risk
C00030,30,20,22322.18,3,5,5,13,Champions
C00031,35,20,16184.85,3,5,3,11,Loyal Customers
C00032,29,18,21495.99,3,4,5,12,Loyal Customers
C00033,58,12,10623.23,2,1,1,4,Hibernating
C00034,19,17,19779.61,4,4,4,12,Loyal Customers
C00035,66,16,13635.91,2,3,2,7,Potential Loyalists
C00036,0,14,14809.55,5,2,3,10,Loyal Customers
C00037,153,11,14670.32,1,1,3,5,At Risk
C00038,117,14,13260.11,1,2,2,5,At Risk
C00039,11,18,14180.63,5,4,2,11,Loyal Customers
C00040,124,21,25108.6,1,5,5,11,Loyal Customers
C00041,56,8,4936.79,2,1,1,4,Hibernating
C00042,70,20,21956.9,2,5,5,12,Loyal Customers
C00043,41,10,13423.83,3,1,2,6,At Risk
C00044,8,16,17082.88,5,3,4,12,Loyal Customers
C00045,59,10,8853.74,2,1,1,4,Hibernating
C00046,14,15,14238.72,4,3,2,9,Potential Loyalists
C00047,25,16,18743.41,4,3,4,11,Loyal Customers
C00048,19,11,13206.86,4,1,2,7,Potential Loyalists
C00049,1,23,22942.73,5,5,5,15,Champions
C00050,4,14,13433.12,5,2,2,9,Potential Loyalists
C00051,3,17,14134.54,5,4,2,11,Loyal Customers
C00052,46,12,10547.23,3,1,1,5,At Risk
C00053,40,12,11516.98,3,1,1,5,At Risk
C00054,47,21,15134.16,3,5,3,11,Loyal Customers
C00055,56,19,23350.66,2,5,5,12,Loyal Customers
C00056,98,11,16282.73,1,1,3,5,At Risk
C00057,167,18,21209.86,1,4,5,10,Loyal Customers
C00058,26,19,14845.36,3,5,3,11,Loyal Customers
C00059,41,12,18781.77,3,1,4,8,Potential Loyalists
C00060,44,14,17344.86,3,2,4,9,Potential Loyalists
C00061,84,17,19606.93,2,4,4,10,Loyal Customers
